Date,High,Low,Volume
2013-01-01,0.10293227840882616,0.11643143698963306,0.03277966485950222
2013-01-02,0.21380994958775382,0.23327047888629704,0.12278700872396558
2013-01-03,0.21641751682697674,0.23495563452814036,0.12609219848065184
2013-01-04,0.21500497857116108,0.2383891335325837,0.09428966826074321
2013-01-07,0.21355157103758668,0.23573404452501798,0.07636757537485256
2013-01-08,0.210749041023849,0.23265549881167683,0.08276278624714226
2013-01-09,0.2178321172894469,0.23752020474023683,0.11167428254679224
2013-01-10,0.2210734339292282,0.24347659602423213,0.09971082463179168
2013-01-11,0.22235430583315885,0.24373208077475786,0.08439189455951118
2013-01-14,0.22345761548299534,0.24570128360660576,0.09283885111395222
2013-01-15,0.22401546042738404,0.24455377777434023,0.12008690825174313
2013-01-16,0.21870498178260783,0.23764931706675854,0.1362190654901964
2013-01-17,0.2213971201124344,0.2434584147448072,0.1079864801437323
2013-01-18,0.21992086158967591,0.24243057905265072,0.12474514078670208
2013-01-21,0.2333008323371273,0.2625853981778609,0.07492714748099345
2013-01-22,0.21778449493255067,0.2397225968325973,0.10220653733314984
2013-01-23,0.213650844451893,0.22942911860388515,0.1682854738156643
2013-01-24,0.2133323104807873,0.23572798920716018,0.10622530410355784
2013-01-25,0.21686033912783736,0.2394567624492339,0.11835053572850845
2013-01-28,0.22033189634662875,0.24187392121322787,0.09245703928736766
2013-01-29,0.21813120344367612,0.23701080989471354,0.14842794119053454
2013-01-30,0.21304314926164616,0.23451105101532566,0.07374515878341403
2013-01-31,0.20742204712056925,0.2305619154188454,0.09254289547705362
2013-02-01,0.21452340513442747,0.23572122481621782,0.09233650498682912
2013-02-04,0.2116679764905702,0.23193203600371307,0.08073714964306548
2013-02-05,0.2092841631125414,0.2304327573383168,0.10076394558457646
2013-02-06,0.21137981076336265,0.23331529359399894,0.1107374033096111
2013-02-07,0.2142720091788619,0.2344905156874406,0.09174575522739767
2013-02-08,0.21538362767107927,0.23740938920357946,0.09605585473838814
2013-02-11,0.21617613198190597,0.23923645513943015,0.07806292919332215
2013-02-12,0.21852391490937947,0.24037738367439487,0.09135829172849055
2013-02-13,0.21958835301604107,0.24307089390227476,0.10107834358952708
2013-02-14,0.21439199394131803,0.23309976778432295,0.12051914037252076
2013-02-15,0.21079230773649513,0.23400520685789608,0.099159635857892
2013-02-18,0.22639782500522596,0.2589895469986907,0.0382894402370754
2013-02-19,0.21331635428487722,0.23360651664936727,0.10214464567408973
2013-02-20,0.2129497925044642,0.23468638670899614,0.10066269721074218
2013-02-21,0.20256085946250074,0.22297756009717437,0.13114349159588082
2013-02-22,0.2019406565567633,0.21569872719413805,0.1192980183249128
2013-02-25,0.19890453054732757,0.21446939866969833,0.11188583387308154
2013-02-26,0.18948721866295656,0.208806272347864,0.12956981432133177
2013-02-27,0.19523361759129798,0.2102717018745032,0.1064174993097915
2013-02-28,0.19709432334545643,0.21682310733906884,0.15169371323379094
2013-03-01,0.19376029182053112,0.2112723776742148,0.13066644022065224
2013-03-04,0.18917423139611658,0.2126055689343583,0.07877603422088128
2013-03-05,0.20042204418766144,0.22127516421293333,0.1871184628399985
2013-03-06,0.2034187832160756,0.22711236777373006,0.09015452601884917
2013-03-07,0.20307249029222912,0.22658320321612685,0.08101858536409429
2013-03-08,0.20625917302506358,0.2292847447249886,0.06922745023752526
2013-03-11,0.20952369690315872,0.22967198827931645,0.08458451144361646
2013-03-12,0.20878006003454425,0.2308840948526264,0.0963536262013189
2013-03-13,0.2042078931942148,0.2289385069905342,0.0542455705803711
2013-03-14,0.20609053131316526,0.22562102277447826,0.07037970715005687
2013-03-15,0.20054537808969522,0.2232438573437583,0.13126340168924852
2013-03-18,0.1974384013601415,0.2182556000644973,0.10054459357382767
2013-03-19,0.195944417020427,0.21619433207578753,0.0972435845152532
2013-03-20,0.19740273908665582,0.21726044750456977,0.1040341839246331
2013-03-21,0.19381753864993614,0.21303452466076261,0.10522303447545117
2013-03-22,0.19075594431887444,0.21222147760856197,0.07724335298921714
2013-03-25,0.1909644524887334,0.21201044756189652,0.07721467684188589
2013-03-26,0.18918772845450052,0.21308499322193364,0.05983643837045997
2013-03-27,0.2190704968724483,0.24503100486453708,0.08560888763301018
2013-03-28,0.18359165172923586,0.20534207825806058,0.09075248077018175
2013-04-01,0.1556519680010305,0.17266671884862686,0.09184015676297597
2013-04-02,0.1816511412783041,0.20298397486299405,0.11420133670543225
2013-04-03,0.18034053256677243,0.20113032101976203,0.10897254067965131
2013-04-04,0.1821035614424099,0.20269050353690823,0.1492879164017542
2013-04-05,0.17946277507655378,0.19861585786585406,0.16695263612532982
2013-04-08,0.18355514352808353,0.20418990871365997,0.11352497039790412
2013-04-09,0.18594742192014,0.20585223286021526,0.10893900524987316
2013-04-10,0.1906007528647019,0.21069209205894618,0.11446964891402317
2013-04-11,0.1990759703013647,0.21860909008446688,0.19068326950499248
2013-04-12,0.19881534829018807,0.21818779278125436,0.10849234949128292
2013-04-15,0.19212680056708534,0.20877144134486603,0.11009092570673759
2013-04-16,0.19328657446005754,0.21378272655525593,0.10065694371113944
2013-04-17,0.19336496312326965,0.21095159607783456,0.11869651909533302
2013-04-18,0.19211478877690624,0.20975588254216293,0.103595957085515
2013-04-19,0.21969709842130558,0.24483741824063365,0.0848379964955126
2013-04-22,0.19584704414254692,0.21704788444027792,0.09601102909870214
2013-04-23,0.20132812945935896,0.22002039174460428,0.09874672806635418
2013-04-24,0.24479740742044404,0.26406621583355383,0.13224840932794715
2013-04-25,0.2178889874671238,0.2372134509330787,0.10840880421856021
